"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
114,"6/2025",-33128.742386648635,-312.53530553442397,0,73004.3034327485,-45.37916373267886,null
115,"7/2025",-33441.27769218306,-312.53530553442397,0,72740.43766283605,-45.973434813781175,null
116,"8/2025",-33753.81299771748,-312.53530553442397,0,72476.39598241013,-46.57214606243591,null
117,"9/2025",-34066.34830325191,-312.53530553442397,0,72212.17827419736,-47.17535063670056,null
118,"10/2025",-34378.88360878633,-312.53530553442397,0,71947.78442084581,-47.78310254516407,null
119,"11/2025",-34691.418914320755,-312.53530553442397,0,71683.21430492544,-48.39545666402555,null
120,"12/2025",-35003.95421985518,-312.53530553442397,0,71418.46780892751,-49.01246875458673,null
121,"1/2026",-35316.4895253896,-312.53530553442397,0,71153.54481526584,-49.63419548116811,null
122,"2/2026",-35629.02483092403,-312.53530553442397,0,70888.44520627495,-50.260694429464216,null
123,"3/2026",-35941.56013645845,-312.53530553442397,0,70623.16886421142,-50.89202412534619,null
124,"4/2026",-36254.095441992875,-312.53530553442397,0,70357.71567125316,-51.52824405412812,null
125,"5/2026",-36566.6307475273,-312.53530553442397,0,70092.08550949964,-52.16941468030851,null
126,"6/2026",-36879.16605306172,-312.53530553442397,0,69826.2782609715,-52.81559746780153,null
127,"7/2026",-37191.70135859615,-312.53530553442397,0,69560.29380761119,-53.46685490067134,null
128,"8/2026",-37504.23666413057,-312.53530553442397,0,69294.13203128189,-54.12325050438586,null
129,"9/2026",-37816.771969664995,-312.53530553442397,0,69027.79281376835,-54.78484886760283,null
130,"10/2026",-38129.30727519942,-312.53530553442397,0,68761.27603677635,-55.45171566450614,null
131,"11/2026",-38441.84258073384,-312.53530553442397,0,68494.58158193326,-56.12391767770665,null
132,"12/2026",-38754.37788626827,-312.53530553442397,0,68227.70933078688,-56.8015228217267,null
133,"1/2027",-39066.91319180269,-312.53530553442397,0,67960.65916480632,-57.4846001670826,null
134,"2/2027",-39379.448497337115,-312.53530553442397,0,67693.43096538178,-58.17321996498544,null
135,"3/2027",-39691.98380287154,-312.53530553442397,0,67426.02461382428,-58.867453672678096,null
136,"4/2027",-40004.51910840596,-312.53530553442397,0,67158.43999136589,-59.567373979426975,null
137,"5/2027",-40317.05441394039,-312.53530553442397,0,66890.6769791591,-60.27305483318973,null
138,"6/2027",-40629.58971947481,-312.53530553442397,0,66622.73545827741,-60.98457146797755,null
139,"7/2027",-40942.125025009234,-312.53530553442397,0,66354.61530971523,-61.7020004319349,null
140,"8/2027",-41254.66033054366,-312.53530553442397,0,66086.31641438734,-62.42541961615869,null
141,"9/2027",-41567.19563607808,-312.53530553442397,0,65817.83865312919,-63.15490828427841,null
142,"10/2027",-41879.730941612506,-312.53530553442397,0,65549.18190669683,-63.890547102821834,null
143,"11/2027",-42192.26624714693,-312.53530553442397,0,65280.34605576703,-64.63241817239043,null
144,"12/2027",-42504.801552681354,-312.53530553442397,0,65011.33098093644,-65.38060505967064,null
145,"1/2028",-42817.33685821578,-312.53530553442397,0,64742.136562722786,-66.13519283030448,null
146,"2/2028",-43129.8721637502,-312.53530553442397,0,64472.76268156357,-66.8962680826511,null
147,"3/2028",-43442.407469284626,-312.53530553442397,0,64203.20921781679,-67.66391898246277,null
148,"4/2028",-43754.94277481905,-312.53530553442397,0,63933.47605176099,-68.43823529850738,null
149,"5/2028",-44067.478080353474,-312.53530553442397,0,63663.563063594505,-69.21930843916762,null
150,"6/2028",-44380.0133858879,-312.53530553442397,0,63393.47013343581,-70.0072314900465,null
151,"7/2028",-44692.54869142232,-312.53530553442397,0,63123.19714132377,-70.80209925261252,null
152,"8/2028",-45005.083996956746,-312.53530553442397,0,62852.74396721682,-71.60400828391967,null
153,"9/2028",-45317.61930249117,-312.53530553442397,0,62582.110490993975,-72.41305693743375,null
154,"10/2028",-45630.154608025594,-312.53530553442397,0,62311.296592453546,-73.22934540500609,null
155,"11/2028",-45942.68991356002,-312.53530553442397,0,62040.30215131421,-74.05297576002667,null
156,"12/2028",-46255.22521909444,-312.53530553442397,0,61769.12704721392,-74.8840520018014,null
157,"1/2029",-46567.760524628866,-312.53530553442397,0,61497.77115971108,-75.72268010118832,null
158,"2/2029",-46880.29583016329,-312.53530553442397,0,61226.23436828306,-76.5689680475411,null
159,"3/2029",-47192.831135697714,-312.53530553442397,0,60954.51655232773,-77.42302589699649,null
160,"4/2029",-47505.36644123214,-312.53530553442397,0,60682.61759116154,-78.2849658221588,null
161,"5/2029",-47817.90174676656,-312.53530553442397,0,60410.53736402124,-79.15490216322014,null
162,"6/2029",-48130.437052300986,-312.53530553442397,0,60138.27575006275,-80.03295148057312,null
163,"7/2029",-48442.97235783541,-312.53530553442397,0,59865.83262836188,-80.91923260896098,null
164,"8/2029",-48755.50766336983,-312.53530553442397,0,59593.207877913046,-81.81386671322325,null
165,"9/2029",-49068.04296890426,-312.53530553442397,0,59320.40137763053,-82.71697734568534,null
166,"10/2029",-49380.57827443868,-312.53530553442397,0,59047.413006347895,-83.62869050525553,null
167,"11/2029",-49693.113579973106,-312.53530553442397,0,58774.2426428178,-84.54913469828537,null
168,"12/2029",-50005.64888550753,-312.53530553442397,0,58500.890165712044,-85.47844100125563,null
169,"1/2030",-50318.18419104195,-312.53530553442397,0,58227.355453621436,-86.41674312535248,null
170,"2/2030",-50630.71949657638,-312.53530553442397,0,57953.63838505605,-87.36417748299998,null
171,"3/2030",-50943.2548021108,-312.53530553442397,0,57679.73883844513,-88.32088325641953,null
172,"4/2030",-51255.790107645225,-312.53530553442397,0,57405.656692136334,-89.28700246828892,null
173,"5/2030",-51568.32541317965,-312.53530553442397,0,57131.391824396815,-90.26268005457278,null
174,"6/2030",-51880.86071871407,-312.53530553442397,0,56856.94411341201,-91.24806393960921,null
