"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
201,"9/2032",318216,1953,135513.6689184474,48180.60618584979,941.7267752262189,10.721317348216903
202,"10/2032",320169,1953,135509.17862460282,47898.86564080506,951.3339669497526,10.721317348216903
203,"11/2032",322123,1954,135504.7275831601,47616.8903119729,961.0617673369845,10.721317348216903
204,"12/2032",321226,-897,135500.31545099,47334.68000369998,964.8872991542129,10.721317348216903
205,"1/2033",323180,1954,135495.9418879628,47052.234520170205,974.8228677457158,10.721317348216903
206,"2/2033",325133,1953,135491.6065569221,46769.553665404135,984.8813393693989,10.721317348216903
207,"3/2033",327086,1953,135487.30912365872,46486.63724325915,995.0672635300905,10.721317348216903
208,"4/2033",329040,1954,135483.04925688502,46203.485057428945,1005.3853051983045,10.721317348216903
209,"5/2033",330993,1953,135478.82662820938,45920.09691144399,1015.8337155250156,10.721317348216903
210,"6/2033",332946,1953,135474.64091211083,45636.47260867059,1026.4172801626967,10.721317348216903
211,"7/2033",334900,1954,135470.49178591397,45352.61195231169,1037.1409088422713,10.721317348216903
212,"8/2033",336853,1953,135466.37892976412,45068.51474540571,1048.0029830091362,10.721317348216903
213,"9/2033",338806,1953,135462.30202660267,44784.18079082729,1059.0085464368758,10.721317348216903
214,"10/2033",340760,1954,135458.26076214254,44499.60989128681,1070.1627765401777,10.721317348216903
215,"11/2033",342713,1953,135454.25482484407,44214.801849330004,1081.4642038977945,10.721317348216903
216,"12/2033",341817,-896,135450.283905891,43929.756467338215,1086.4328015584138,10.721317348216903
217,"1/2034",343770,1953,135446.34769916654,43644.47354752809,1098.0000644922618,10.721317348216903
218,"2/2034",345723,1953,135442.4459012299,43358.95289195155,1109.7257055544474,10.721317348216903
219,"3/2034",347677,1954,135438.57821129286,43073.194302495285,1121.6153945269514,10.721317348216903
220,"4/2034",349630,1953,135434.74433119653,42787.19758088117,1133.6679468531975,10.721317348216903
221,"5/2034",351583,1953,135430.94396538843,42500.96252866564,1145.8892104782615,10.721317348216903
222,"6/2034",353537,1954,135427.17682089974,42214.48894723998,1158.285197842881,10.721317348216903
223,"7/2034",355490,1953,135423.44260732256,41927.77663782991,1170.8549366874588,10.721317348216903
224,"8/2034",357443,1953,135419.74103678772,41640.8254014952,1183.604638680122,10.721317348216903
